M,S,replications,mean_relative,mean_standard_error,median_relative,q10_relative,q90_relative,prob_below_half,prob_within_25pct
8,8,20000,1.001322406870368,0.01035519435216127,0.367427041271316,0.014267950595221344,2.9395261596750832,0.56015,0.1001
16,16,20000,1.0087055882470766,0.01456933991557545,0.15821630245496845,0.0015198005945023972,3.1610022531165125,0.6651,0.0682
32,32,20000,1.0271869848348143,0.020507567656145507,0.03628484313372059,5.924858421410179e-05,2.745500969567988,0.7536,0.0453
64,64,20000,1.0017134401110048,0.028397380450202715,0.004223072560850055,8.50688952690728e-07,1.777273952783972,0.827,0.0289
128,128,20000,1.0418202980839508,0.04163261723432029,0.00015370591360373996,1.4870130882986927e-09,0.7408610427769342,0.88565,0.0155
256,256,20000,0.9531537014063979,0.05388876694885154,1.1376754974308082e-06,7.158488710494381e-14,0.16073103913424477,0.9285,0.0105
512,512,20000,0.8785340657178956,0.07312399993579702,8.408888563195997e-10,1.1932271668443835e-19,0.017895622553305603,0.95385,0.0065
