dimension,offset,log10_S,expectation,limit,ratio
4,0.0,3,8.498616846715203,10.026513098524001,0.8476143962716491
4,0.0,5,9.47670231390062,10.026513098524001,0.9451643079482619
4,0.0,8,9.95578939291683,10.026513098524001,0.992946330901659
4,0.0,12,10.023902924849372,10.026513098524001,0.9997396728404999
4,0.0,18,10.026503209176948,10.026513098524001,0.9999990136803337
4,1.5,3,15.862252497982412,30.883834581970962,0.5136102013459919
4,1.5,5,21.918993952778887,30.883834581970962,0.7097238490447856
4,1.5,8,27.97798792105831,30.883834581970962,0.9059104317762084
4,1.5,12,30.49222673018611,30.883834581970962,0.9873199731482353
4,1.5,18,30.874334902050485,30.883834581970962,0.999692406074276
6,0.0,3,9.823715256757326,10.952897351285262,0.8969056261268228
6,0.0,5,10.40963677769829,10.952897351285262,0.9504002862289929
6,0.0,8,10.846066271820224,10.952897351285262,0.9902463178427849
6,0.0,12,10.94576479629233,10.952897351285262,0.99934879742189
6,0.0,18,10.952817601330747,10.952897351285262,0.9999927188257173
3,0.0,3,8.660485833743618,11.342302963893419,0.7635562073516307
3,0.0,5,10.28948575622559,11.342302963893419,0.9071778270233726
3,0.0,8,11.154392220280481,11.342302963893419,0.9834327522187404
3,0.0,12,11.328081670882344,11.342302963893419,0.9987461723552663
3,0.0,18,11.342075397645049,11.342302963893419,0.9999799365041567
