simulations,expected_criterion,predicted_moment,simulated_moment,ratio
100,9.624284707288439,178.68788971544097,178.25694606861512,0.9975882884536152
1000,9.823715256757326,392.948610270293,388.55779398295977,0.9888259783275147
10000,10.131088997247938,873.0707833388514,865.8747766450732,0.9917578198341963
