system,alpha,beta,h,argmax_state,argmax_epsilon,max_probability
U.S.-U.K.,0.32,0.088,0.0019230769230769232,1.4910659272951323e-05,0.0038614322825800433,0.15880425068301401
U.S.-U.K.,0.32,0.088,0.0009615384615384616,7.450738916256156e-06,0.002729604168420058,0.1587297293776006
U.S.-U.K.,0.32,0.088,0.02,0.00015688816855753647,0.012525500730810584,0.160213841598158
U.S.-Germany,0.338,0.101,0.0019230769230769232,1.9642843388713023e-05,0.0044320247504625945,0.15881263720152722
U.S.-Germany,0.338,0.101,0.0009615384615384616,9.815033618005552e-06,0.003132895404893938,0.15873391998339315
U.S.-Germany,0.338,0.101,0.02,0.00020681615440759066,0.014381104074708264,0.16030210885408358
