simulations,observations,replications,scaled_simulated_error,simulated_standard_error,scaled_exact_error,ratio,power_prediction,curvature,predicted_error
16,4000,16,3.6188663300002135,0.3445101958074756,1.5023994964715892,2.4087244028630086,2.0,3.0665911489806543,3.565312138999705
81,4000,16,3.677951977676919,0.37222871512982014,2.084476759055666,1.7644485416777438,3.0,3.9197964678177213,4.274652950775073
256,4000,16,4.309034610626073,0.4143462448267938,2.0356137484957864,2.1168232990223355,4.0,4.5910434500826085,4.96352104836447
