m_steps,draws,effective_size,log_strengthened,exceedance,bound,radius,holds
10,10,0.1,0.5301898110478399,0.6525,6.483608290559362,3.0332541567695963,True
100,100,0.01,0.21207592441913597,0.222,1.2706611876822853,3.714714339292412,True
1000,1000,0.001,0.047717082994305576,0.0375,0.2105022006582014,4.292474059257407,True
10000,10000,0.0001,0.008483036976765439,0.00925,0.03151495778900285,4.796162020252532,True
100000,100000,1e-05,0.0013254745276195998,0.001,0.004409996564753028,5.255406925865733,True
1000000,1000000,1e-06,0.0001908683319772223,0.0,0.0005880643250954015,5.680085010626328,True
10000000,10000000,1e-07,2.5979300741344147e-05,0.0,7.563260037667583e-05,6.070196274534317,True
