quantity,first,last,growth,decades
ratio,1.4065969662876228,1.9019186642728632,1.3521418784888495,2.0
log_prediction,1.3572280848830225,1.9194103648752325,1.414213562373095,2.0
power_prediction,2.51188643150958,6.309573444801933,2.5118864315095806,2.0
