system,model,states,matrices_evaluated,states_with_no_branch,states_with_two_branches,worst_min_eigenvalue,violation_found,rate_multiple,rate_star_multiple,log_fx,epsilon_squared
U.S. vs. U.K.,B,56784,56784,0,0,0.06987955710641797,False,5.0,2.426,0.40000000000000036,0.0
U.S. vs. U.K.,C,56784,38496,37536,19248,0.4454976625983267,False,1.4360000000000002,5.0,0.40000000000000036,0.0
U.S. vs. Germany,B,56784,56784,0,0,0.13511960183881816,False,5.0,0.05,-0.3999999999999999,0.0
U.S. vs. Germany,C,56784,56784,0,0,0.08802364379499918,False,3.218,5.0,-0.3999999999999999,0.0
