system,state,kappa,theta,sigma,feller_ratio
U.S. vs. U.K.,r (U.S.),0.284,0.053,0.028,38.39795918367346
U.S. vs. U.K.,r* (U.K.),0.486,0.074,0.056,22.936224489795915
U.S. vs. U.K.,epsilon^2,0.64,0.012099999999999998,0.176,0.5
U.S. vs. Germany,r (U.S.),0.305,0.058,0.027,48.53223593964336
U.S. vs. Germany,r* (Germany),0.088,0.064,0.042,6.385487528344671
U.S. vs. Germany,epsilon^2,0.676,0.015090236686390535,0.202,0.5
