M,S,replications,mean_relative,median_relative,q10_relative,q90_relative,prob_below_half,prob_within_25pct
8,8,20000,1.001322406870368,0.367427041271316,0.014267950595221344,2.9395261596750832,0.56015,0.1001
16,16,20000,1.0087055882470766,0.15821630245496845,0.0015198005945023972,3.1610022531165125,0.6651,0.0682
32,32,20000,1.0271869848348143,0.03628484313372059,5.924858421410179e-05,2.745500969567988,0.7536,0.0453
64,64,20000,1.0017134401110048,0.004223072560850055,8.50688952690728e-07,1.777273952783972,0.827,0.0289
128,128,20000,1.0418202980839508,0.00015370591360373996,1.4870130882986927e-09,0.7408610427769342,0.88565,0.0155
256,256,19531,0.9411683523752674,1.1182968489133075e-06,7.167585447464603e-14,0.15791454776169198,0.9290358916594132,0.010547335005888076
512,512,9765,0.9981413422252401,8.603901534567236e-10,7.075562904960564e-20,0.017382267090665083,0.9546338965693805,0.006246799795186892
