property,general_K,K4
Monte Carlo L2 consistency,$S/M^{K/2}\to\infty$,$S/M^2\to\infty$
Density CLT centred at Euler density,$S/M^{K/2}\to\infty$,$S/M^2\to\infty$
Euler bias negligible in density CLT,$\sqrt{S}/M^{1+K/4}\to0$,$S/M^4\to0$
Published condition,$\sqrt{S}/M\to0$,$S/M^2\to0$
