market,beta,beta_star,rho,kappa,one_minus_kappa
U.S. vs. U.K.,1.514,2.581,0.89,1.9981684799999995,-0.9981684799999995
U.S. vs. Germany,-0.142,0.127,0.94,0.07019692,0.92980308
